Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	-20.26153846153846	-inf	65	0.946	0.0001	1.2384587327639263
70000	-20.31578947368421	-inf	76	0.9369999999999999	0.0001	0.470912500222524
80000	-20.28735632183908	-inf	87	0.9279999999999999	0.0001	0.48014071385065715
90000	-20.285714285714285	-inf	98	0.919	0.0001	0.4709730784098307
100000	-20.27	-20.27	109	0.91	0.0001	0.4768083214759827
110000	-20.23	-20.23	119	0.901	0.0001	0.48040088812510173
120000	-20.22	-20.18	130	0.892	0.0001	0.49312530755996703
130000	-20.2	-20.18	140	0.883	0.0001	0.4834537108739217
140000	-20.2	-20.17	152	0.874	0.0001	0.48830588658650714
150000	-20.23	-20.17	162	0.865	0.0001	0.4828811566034953
160000	-20.16	-20.16	173	0.856	0.0001	0.48268458048502605
170000	-20.21	-20.16	184	0.847	0.0001	0.492012627919515
180000	-20.22	-20.16	195	0.838	0.0001	0.4956289013226827
190000	-20.22	-20.16	206	0.829	0.0001	0.4919645627339681
200000	-20.22	-20.16	216	0.82	0.0001	0.5021287242571513
210000	-20.22	-20.16	226	0.8109999999999999	0.0001	0.496228555838267
220000	-20.14	-20.14	237	0.802	0.0001	0.5051986614863078
230000	-20.19	-20.14	248	0.7929999999999999	0.0001	0.5068021059036255
240000	-20.24	-20.14	259	0.784	0.0001	0.49884963830312096
250000	-20.32	-20.14	270	0.775	0.0001	0.5002569039662679
260000	-20.31	-20.14	281	0.766	0.0001	0.5010805368423462
270000	-20.33	-20.14	292	0.757	0.0001	0.504824165503184
280000	-20.32	-20.14	303	0.748	0.0001	0.5074559847513834
290000	-20.32	-20.14	313	0.739	0.0001	0.509623404343923
300000	-20.39	-20.14	324	0.73	0.0001	0.5119107007980347
310000	-20.42	-20.14	334	0.721	0.0001	0.5145660797754924
320000	-20.42	-20.14	345	0.712	0.0001	0.5234064300855
330000	-20.42	-20.14	355	0.703	0.0001	0.5134149312973022
340000	-20.35	-20.14	366	0.694	0.0001	0.5176082611083984
350000	-20.33	-20.14	377	0.685	0.0001	0.5204397638638815
360000	-20.31	-20.14	388	0.6759999999999999	0.0001	0.517318069934845
370000	-20.28	-20.14	398	0.667	0.0001	0.5206032514572143
380000	-20.21	-20.14	408	0.6579999999999999	0.0001	0.5226373275121053
390000	-20.24	-20.14	418	0.649	0.0001	0.5206369598706563
400000	-20.17	-20.14	429	0.6399999999999999	0.0001	0.5283649245897929
410000	-20.18	-20.14	438	0.631	0.0001	0.5253564834594726
420000	-20.04	-20.04	448	0.622	0.0001	0.5249409874280294
430000	-20.02	-20.01	457	0.613	0.0001	0.5247528870900472
440000	-20.04	-20.01	467	0.604	0.0001	0.5308590888977051
450000	-19.98	-19.98	476	0.595	0.0001	0.5312783161799113
460000	-19.87	-19.85	484	0.586	0.0001	0.5317454973856608
470000	-19.84	-19.81	493	0.577	0.0001	0.5323567072550456
480000	-19.75	-19.75	502	0.5680000000000001	0.0001	0.5352006355921427
490000	-19.77	-19.72	511	0.5589999999999999	0.0001	0.5415195902188619
500000	-19.65	-19.65	519	0.55	0.0001	0.5605703393618265
510000	-19.67	-19.62	528	0.5409999999999999	0.0001	0.5394152522087097
520000	-19.61	-19.61	535	0.532	0.0001	0.5503914952278137
530000	-19.6	-19.6	543	0.5229999999999999	0.0001	0.5445344845453898
540000	-19.54	-19.54	550	0.514	0.0001	0.5522702217102051
550000	-19.33	-19.33	558	0.5049999999999999	0.0001	0.5463640809059143
560000	-19.21	-19.21	565	0.4959999999999999	0.0001	0.5511366605758667
570000	-19.09	-19.06	572	0.487	0.0001	0.5500361760457356
580000	-18.99	-18.99	579	0.478	0.0001	0.5488011042277018
590000	-18.9	-18.9	586	0.469	0.0001	0.55037735303243
600000	-18.78	-18.78	592	0.45999999999999996	0.0001	0.5569058140118917
610000	-18.73	-18.73	598	0.45099999999999996	0.0001	0.5564118941624959
620000	-18.63	-18.63	605	0.44199999999999995	0.0001	0.5591894745826721
630000	-18.53	-18.52	611	0.43299999999999994	0.0001	0.5591161449750265
640000	-18.44	-18.44	617	0.42399999999999993	0.0001	0.5625275651613871
650000	-18.25	-18.25	622	0.4149999999999999	0.0001	0.565205713113149
660000	-18.12	-18.12	627	0.4059999999999999	0.0001	0.560485553741455
670000	-17.91	-17.91	633	0.3969999999999999	0.0001	0.5638923048973083
680000	-17.78	-17.77	638	0.3879999999999999	0.0001	0.5668175856272379
