Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	-20.253968253968253	-inf	63	0.946	0.0001	1.2863302032152812
70000	-20.283783783783782	-inf	74	0.9369999999999999	0.0001	0.49821014404296876
80000	-20.270588235294117	-inf	85	0.9279999999999999	0.0001	0.481656022866567
90000	-20.25	-inf	96	0.919	0.0001	0.485729710261027
100000	-20.26	-20.24	107	0.91	0.0001	0.4882887005805969
110000	-20.26	-20.24	118	0.901	0.0001	0.49162795543670657
120000	-20.31	-20.24	129	0.892	0.0001	0.5024383385976156
130000	-20.34	-20.24	140	0.883	0.0001	0.4964500387509664
140000	-20.28	-20.24	151	0.874	0.0001	0.4973751823107401
150000	-20.32	-20.24	161	0.865	0.0001	0.49623961448669435
160000	-20.29	-20.24	172	0.856	0.0001	0.4971611221631368
170000	-20.26	-20.23	182	0.847	0.0001	0.4976644118626912
180000	-20.24	-20.2	193	0.838	0.0001	0.5024366656939189
190000	-20.25	-20.2	204	0.829	0.0001	0.5035667618115743
200000	-20.22	-20.2	215	0.82	0.0001	0.5063461939493815
210000	-20.28	-20.2	226	0.8109999999999999	0.0001	0.5223896106084188
220000	-20.28	-20.2	238	0.802	0.0001	0.5070268909136454
230000	-20.24	-20.2	247	0.7929999999999999	0.0001	0.5067388494809468
240000	-20.19	-20.19	258	0.784	0.0001	0.5108055710792542
250000	-20.23	-20.19	268	0.775	0.0001	0.5148819128672282
260000	-20.29	-20.19	279	0.766	0.0001	0.5139675180117289
270000	-20.37	-20.19	291	0.757	0.0001	0.5181778947512309
280000	-20.38	-20.19	301	0.748	0.0001	0.5160015900929769
290000	-20.38	-20.19	312	0.739	0.0001	0.5214969714482626
300000	-20.32	-20.19	323	0.73	0.0001	0.5193586389223734
310000	-20.25	-20.19	333	0.721	0.0001	0.5205756743748983
320000	-20.26	-20.19	344	0.712	0.0001	0.5317134777704875
330000	-20.27	-20.19	355	0.703	0.0001	0.5291681249936422
340000	-20.18	-20.18	364	0.694	0.0001	0.5265940427780151
350000	-20.18	-20.16	375	0.685	0.0001	0.5280548652013143
360000	-20.13	-20.12	385	0.6759999999999999	0.0001	0.5321345090866089
370000	-20.0	-20.0	395	0.667	0.0001	0.5313824931780498
380000	-19.89	-19.89	405	0.6579999999999999	0.0001	0.5307912230491638
390000	-19.88	-19.88	414	0.649	0.0001	0.5287492354710897
400000	-19.84	-19.83	424	0.6399999999999999	0.0001	0.5335775971412658
410000	-19.86	-19.81	434	0.631	0.0001	0.5396735787391662
420000	-19.89	-19.81	444	0.622	0.0001	0.5371248205502828
430000	-19.86	-19.81	454	0.613	0.0001	0.5395511984825134
440000	-19.9	-19.81	464	0.604	0.0001	0.5371371388435364
450000	-19.81	-19.81	473	0.595	0.0001	0.5459444959958394
460000	-19.75	-19.75	483	0.586	0.0001	0.5437022487322489
470000	-19.73	-19.71	491	0.577	0.0001	0.5467829585075379
480000	-19.63	-19.63	500	0.5680000000000001	0.0001	0.5486148953437805
490000	-19.58	-19.58	509	0.5589999999999999	0.0001	0.5469080090522767
500000	-19.62	-19.55	519	0.55	0.0001	0.5691385308901469
510000	-19.6	-19.55	528	0.5409999999999999	0.0001	0.5531440297762553
520000	-19.53	-19.52	537	0.532	0.0001	0.5585599621136983
530000	-19.51	-19.5	546	0.5229999999999999	0.0001	0.5546464045842489
540000	-19.4	-19.38	555	0.514	0.0001	0.5544686357180277
550000	-19.34	-19.34	564	0.5049999999999999	0.0001	0.5587125102678935
560000	-19.38	-19.33	573	0.4959999999999999	0.0001	0.5607128063837687
570000	-19.4	-19.33	582	0.487	0.0001	0.5580818176269531
580000	-19.36	-19.33	589	0.478	0.0001	0.5620768149693807
590000	-19.41	-19.33	598	0.469	0.0001	0.5683013161023458
600000	-19.33	-19.33	605	0.45999999999999996	0.0001	0.5656615654627483
610000	-19.32	-19.29	612	0.45099999999999996	0.0001	0.5635578433672587
620000	-19.2	-19.2	619	0.44199999999999995	0.0001	0.5683739304542541
630000	-19.14	-19.14	626	0.43299999999999994	0.0001	0.5708222428957621
640000	-19.06	-19.06	633	0.42399999999999993	0.0001	0.5744222362836202
650000	-18.95	-18.95	639	0.4149999999999999	0.0001	0.5732241193453471
660000	-18.81	-18.81	645	0.4059999999999999	0.0001	0.5757960557937623
670000	-18.78	-18.73	651	0.3969999999999999	0.0001	0.5766751368840536
680000	-18.67	-18.67	657	0.3879999999999999	0.0001	0.577918819586436
690000	-18.61	-18.59	663	0.379	0.0001	0.5780119061470032
700000	-18.49	-18.49	668	0.37	0.0001	0.5798769474029541
710000	-18.41	-18.41	674	0.361	0.0001	0.582693604628245
720000	-18.23	-18.23	680	0.352	0.0001	0.582376503944397
730000	-18.02	-18.02	685	0.34299999999999997	0.0001	0.5855911254882813
740000	-17.92	-17.92	690	0.33399999999999996	0.0001	0.5853668928146363
750000	-17.76	-17.76	694	0.32499999999999996	0.0001	0.5895199497540792
760000	-17.66	-17.64	699	0.31599999999999995	0.0001	0.5864693840344747
770000	-17.57	-17.57	703	0.30699999999999994	0.0001	0.5890155990918478
780000	-17.5	-17.5	707	0.29799999999999993	0.0001	0.5896705985069275
790000	-17.33	-17.33	712	0.2889999999999999	0.0001	0.5945393800735473
800000	-17.11	-17.11	716	0.2799999999999999	0.0001	0.5968714435895284
810000	-16.87	-16.87	721	0.2709999999999999	0.0001	0.5976903835932413
820000	-16.78	-16.78	725	0.262	0.0001	0.5988304138183593
830000	-16.75	-16.72	729	0.253	0.0001	0.6198253472646077
840000	-16.59	-16.59	733	0.244	0.0001	0.6141877849896749
850000	-16.35	-16.35	737	0.235	0.0001	0.6033624450365702
860000	-16.17	-16.17	741	0.22599999999999998	0.0001	0.6037275989850363
870000	-16.12	-16.12	744	0.21699999999999997	0.0001	0.6012020150820414
880000	-16.02	-16.02	748	0.20799999999999996	0.0001	0.6079904635747274
890000	-15.74	-15.74	752	0.19899999999999995	0.0001	0.6074410438537597
900000	-15.63	-15.63	755	0.18999999999999995	0.0001	0.61263321240743
910000	-15.51	-15.51	758	0.18099999999999994	0.0001	0.612419331073761
920000	-15.33	-15.33	762	0.17199999999999993	0.0001	0.6095612366994222
930000	-15.13	-15.13	765	0.16299999999999992	0.0001	0.6150063594182332
940000	-14.88	-14.88	768	0.15400000000000003	0.0001	0.6190104325612386
950000	-14.74	-14.74	771	0.14500000000000002	0.0001	0.6225113908449809
960000	-14.46	-14.46	774	0.136	0.0001	0.619299340248108
970000	-14.15	-14.14	778	0.127	0.0001	0.6220975716908773
980000	-13.94	-13.94	781	0.118	0.0001	0.624181866645813
990000	-13.77	-13.77	784	0.10899999999999999	0.0001	0.6224878708521525
1000000	-13.56	-13.56	787	0.1	0.0001	0.623618996143341
1010000	-13.11	-13.11	790	0.09982857142857143	0.0001	0.6254372159639995
1020000	-12.91	-12.91	793	0.09965714285714286	0.0001	0.6273477594057719
1030000	-12.6	-12.6	796	0.09948571428571429	0.0001	0.6263886253039043
1040000	-12.44	-12.44	799	0.09931428571428572	0.0001	0.6240951816240946
