Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	-20.363636363636363	-inf	66	0.946	0.0001	1.2109904607137045
70000	-20.376623376623378	-inf	77	0.9369999999999999	0.0001	0.4289101123809814
80000	-20.34090909090909	-inf	88	0.9279999999999999	0.0001	0.4407543659210205
90000	-20.316326530612244	-inf	98	0.919	0.0001	0.4579894622166952
100000	-20.32	-20.29	109	0.91	0.0001	0.45314983526865643
110000	-20.32	-20.29	120	0.901	0.0001	0.5012892802556356
120000	-20.36	-20.29	131	0.892	0.0001	0.5135208328564962
130000	-20.35	-20.29	142	0.883	0.0001	0.5087710380554199
140000	-20.29	-20.29	153	0.874	0.0001	0.5083037575085958
150000	-20.26	-20.26	164	0.865	0.0001	0.508976956208547
160000	-20.26	-20.25	175	0.856	0.0001	0.5110898415247599
170000	-20.28	-20.25	186	0.847	0.0001	0.5153609395027161
180000	-20.34	-20.25	197	0.838	0.0001	0.5184608181317647
