Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
17.898716688156128	0	-187.65828	54.923985	-26.068214	-331.72296	151.0	0.0	-1.24277	-1.24277	-1.24277	-1.24277	30049	30049
34.14332628250122	1	-111.60058	41.32344	-12.037046	-227.18124	151.0	0.0	-0.7390767	-0.7390767	-0.7390767	-0.7390767	30049	60098
50.229867935180664	2	-92.317856	34.07344	-2.6494827	-195.94485	151.0	0.0	-0.61137664	-0.61137664	-0.61137664	-0.61137664	30049	90147
66.26599287986755	3	-80.3856	29.893394	-13.449889	-161.41588	151.0	0.0	-0.532355	-0.532355	-0.532355	-0.532355	30049	120196
82.24040484428406	4	-74.69015	29.583044	21.54544	-187.94272	151.0	0.0	-0.49463677	-0.49463677	-0.49463677	-0.49463677	30049	150245
98.29765319824219	5	-72.841515	27.712677	-1.0156393	-167.79608	151.0	0.0	-0.48239416	-0.48239416	-0.48239416	-0.48239416	30049	180294
114.33712410926819	6	-66.96111	27.424305	-1.8835812	-143.25046	151.0	0.0	-0.44345108	-0.44345108	-0.44345108	-0.44345108	30049	210343
130.38607549667358	7	-59.233093	25.511982	0.3722701	-128.75519	151.0	0.0	-0.39227214	-0.39227214	-0.39227214	-0.39227214	30049	240392
146.52495574951172	8	-57.524143	28.128996	1.7032433	-157.66968	151.0	0.0	-0.38095456	-0.38095456	-0.38095456	-0.38095456	30049	270441
162.61598443984985	9	-52.0608	25.76044	18.506367	-135.88034	151.0	0.0	-0.34477347	-0.34477347	-0.34477347	-0.34477347	30049	300490
178.78938746452332	10	-49.013683	28.337473	44.902885	-175.15048	151.0	0.0	-0.32459393	-0.32459393	-0.32459393	-0.32459393	30049	330539
194.7986454963684	11	-45.68784	22.810701	17.528248	-98.27553	151.0	0.0	-0.30256847	-0.30256847	-0.30256847	-0.30256847	30049	360588
210.91995644569397	12	-40.043495	23.886667	30.053804	-141.93015	151.0	0.0	-0.2651887	-0.2651887	-0.2651887	-0.2651887	30049	390637
226.92051696777344	13	-37.673645	23.897081	19.557966	-121.94256	151.0	0.0	-0.24949433	-0.24949433	-0.24949433	-0.24949433	30049	420686
243.04175209999084	14	-36.038673	23.652594	56.053276	-142.85855	151.0	0.0	-0.23866674	-0.23866674	-0.23866674	-0.23866674	30049	450735
259.18929719924927	15	-33.57359	21.008604	30.22443	-99.40309	151.0	0.0	-0.22234166	-0.22234166	-0.22234166	-0.22234166	30049	480784
275.40617060661316	16	-30.568893	18.182018	19.099789	-92.13808	151.0	0.0	-0.202443	-0.202443	-0.202443	-0.202443	30049	510833
291.5289921760559	17	-29.512823	19.680298	27.442564	-96.542435	151.0	0.0	-0.19544914	-0.19544914	-0.19544914	-0.19544914	30049	540882
307.54290866851807	18	-28.20563	20.133722	32.016903	-90.775154	151.0	0.0	-0.18679224	-0.18679224	-0.18679224	-0.18679224	30049	570931
323.6302649974823	19	-26.016424	19.205357	18.559998	-101.54547	151.0	0.0	-0.1722942	-0.1722942	-0.1722942	-0.1722942	30049	600980
339.7909610271454	20	-20.732363	17.46526	22.983765	-104.922745	151.0	0.0	-0.13730042	-0.13730042	-0.13730042	-0.13730042	30049	631029
355.9203884601593	21	-21.950504	16.770021	13.247944	-71.135605	151.0	0.0	-0.14536758	-0.14536758	-0.14536758	-0.14536758	30049	661078
371.97090458869934	22	-21.662159	15.290847	20.815708	-72.845436	151.0	0.0	-0.14345801	-0.14345801	-0.14345801	-0.14345801	30049	691127
388.0585684776306	23	-17.67872	15.353903	29.357498	-71.96341	151.0	0.0	-0.117077604	-0.117077604	-0.117077604	-0.117077604	30049	721176
404.1315875053406	24	-14.82581	14.0431185	25.719603	-60.46589	151.0	0.0	-0.09818416	-0.09818416	-0.09818416	-0.09818416	30049	751225
420.1754767894745	25	-12.484338	13.722368	19.637724	-59.503002	151.0	0.0	-0.08267774	-0.08267774	-0.08267774	-0.08267774	30049	781274
436.1530919075012	26	-9.036946	16.20704	41.670692	-58.65494	151.0	0.0	-0.059847325	-0.059847325	-0.059847325	-0.059847325	30049	811323
452.2422890663147	27	-4.611848	15.730555	27.78035	-47.994003	151.0	0.0	-0.03054204	-0.03054204	-0.03054204	-0.03054204	30049	841372
468.25102829933167	28	0.046453495	15.964176	36.529243	-54.019726	151.0	0.0	0.00030763893	0.00030763893	0.00030763893	0.00030763893	30049	871421
484.4810996055603	29	1.7825115	17.50599	42.13112	-56.385048	151.0	0.0	0.011804714	0.011804714	0.011804714	0.011804714	30049	901470
500.4658799171448	30	6.953569	20.474813	51.165573	-62.704765	151.0	0.0	0.04605013	0.04605013	0.04605013	0.04605013	30049	931519
516.5196921825409	31	9.215975	17.319687	62.732674	-46.8973	151.0	0.0	0.061032947	0.061032947	0.061032947	0.061032947	30049	961568
532.5570220947266	32	15.077772	19.864447	55.594696	-136.83575	151.0	0.0	0.09985279	0.09985279	0.09985279	0.09985279	30049	991617
548.5354545116425	33	20.95495	23.155378	71.43327	-63.5251	151.0	0.0	0.13877453	0.13877453	0.13877453	0.13877453	30049	1021666
564.6182136535645	34	24.811602	20.93284	62.67591	-56.0259	151.0	0.0	0.16431524	0.16431524	0.16431524	0.16431524	30049	1051715
